1 1:0.32659005454641743 2:1.0 3:0.8198258539852645 4:0.48894842598794375 5:0.1 6:0.1 7:0.1 8:0.004975124378109453 9:258.0 10:257.5 11:257.5 12:257.5 13:2721.0 14:147.42857142857142 15:148.95815053982412 16:4.696550092868693 17:0.964865458873283 18:24.828171122335675 19:-16.082065074002557 20:0.5888421162859124 21:-44.050946102710625 22:-85.32405906176774 23:70.40782049598859
1 1:1.0 2:0.4448507726790138 3:0.6481066415005309 4:1.0 5:0.1 6:0.04096170970614425 7:0.12828034152218323 8:0.296422397988581 9:285.25 10:284.75 11:284.75 12:284.75 13:21135.0 14:163.0 15:142.82656815672837 16:34.8976863870292 17:0.9601089274808777 18:4331.879241075208 19:-1307.7908412461056 20:8559.120559289548 21:-6131.870711496523 22:85.33996845860004 23:-1724.3811662914245
1 1:0.477016234861835 2:0.5732122587968218 3:0.3927355278093076 4:1.0 5:0.1 6:0.1 7:0.1 8:0.1 9:306.0 10:305.5 11:305.5 12:305.5 13:1457.0 14:174.85714285714286 15:180.7290225498847 16:7.551505189319367 17:0.9161567187229999 18:23.873241463784304 19:-15.733281582822842 20:-25.12288266520862 21:-19.585339776120403 22:-39.071847781212675 23:23.370387031050676
1 1:0.3824464848719509 2:0.0064716541548019675 3:0.1 4:0.1 5:0.1 6:0.007782101167315175 7:0.06809338521400778 8:0.7175097276264591 9:171.5 10:171.0 11:171.0 12:171.0 13:2995.0 14:98.0 15:95.52710909175767 16:1.3276740237691 17:0.8701035313699037 18:2082.7015853005423 19:-1704.995486406489 20:-3742.9180651458905 21:363.10475526000187 22:2095.830540933635 23:2108.9095901490514
1 1:1.0 2:0.1 3:0.1 4:0.1 5:0.02520392264687013 6:0.0034827238566584183 7:0.0769865273577124 8:0.30547154248006597 9:318.0 10:317.5 11:317.5 12:317.5 13:3153.0 14:181.71428571428572 15:196.42425969293703 16:1.2127917193235844 17:0.8328557122213688 18:9847.234638981749 19:-10820.229918125846 20:-16788.89278362039 21:5178.438736824862 22:7306.172019081011 23:-188.0504412871147
1 1:1.0 2:0.007978723404255319 3:0.0008865248226950354 4:0.1 5:0.16648560564910375 6:0.16874886836864023 7:0.32265073329712113 8:0.9168024624298389 9:212.0 10:211.5 11:211.5 12:211.5 13:6407.0 14:121.14285714285714 15:109.94599787613731 16:2.017625323463922 17:0.9303553143936116 18:4597.349686152489 19:-4383.004368607366 20:-2695.147016639588 21:605.2582735050838 22:-2242.0171332389978 23:-1638.3671233593145
1 1:0.44361088965273876 2:0.47035664659564613 3:0.3323297823066234 4:0.4294812413154238 5:0.1 6:0.04697392606712506 7:0.17257811968139425 8:0.43236435427871195 9:242.5 10:242.0 11:242.0 12:242.0 13:15965.0 14:138.57142857142858 15:120.86339058488088 16:19.44030888030888 17:0.9584503469605844 18:5285.853969968029 19:-3149.511443847564 20:5226.289406911944 21:-10339.40607461707 22:-5522.979067365716 23:-304.5865375503294
1 1:0.10790452123806918 2:0.500449750592853 3:0.5953062392673154 4:1.0 5:0.1 6:0.004725196095637969 7:0.02075036113998731 8:0.11892643544707106 9:383.0 10:382.5 11:382.5 12:382.5 13:25297.0 14:218.85714285714286 15:189.89803923717182 16:24.618447502352822 17:0.9660398694526108 18:3716.904540968124 19:-628.1637285848766 20:11112.116090685482 21:-3526.72480061268 22:3316.249398639812 23:6781.194388791998
1 1:1.0 2:0.5299672131147541 3:0.6062950819672132 4:1.0 5:0.1 6:0.021657185936536223 7:0.05105887190734014 8:0.11328901377561511 9:126.5 10:126.0 11:126.0 12:126.0 13:16709.0 14:72.28571428571429 15:101.08937246065878 16:25.10708082072287 17:0.9751434067880153 18:1046.9212156584877 19:-690.7324530188259 20:-1799.2096063112556 21:481.3982939595538 22:857.5411083911856 23:-118.63449296103681
1 1:0.4770534804569793 2:0.877350680070964 3:0.7439384979302188 4:0.7534003548196333 5:0.007154355213736362 6:0.08115721695582186 7:0.14661956716150956 8:0.33164907887676626 9:378.5 10:378.0 11:378.0 12:378.0 13:23408.0 14:216.28571428571428 15:187.65219673314647 16:11.949312761204784 17:0.9759793942207281 18:5865.496272708711 19:1224.9438535583758 20:22555.085865203408 21:8939.118320761352 22:19637.001778713773 23:-5538.63042290806
