2 1:0.5485355717809898 2:0.3749896521465587 3:0.031568793662856975 4:1.0 5:0.5614568413668118 6:0.5735289819064043 7:1.0 8:0.36047596076539634 9:0.397459398617141 10:73589.0 11:42.12145340361108 12:13111.820831682706 13:-1279.6663209434669 14:-6715.833743064197 15:-2361.94597386382 16:-814.4970785572673
2 1:1.0 2:0.04189986595359507 3:0.45779084418311633 4:0.9483410331793364 5:0.7965840683186336 6:1.0 7:0.23859315589353614 8:0.14844740177439797 9:0.17229087452471484 10:22035.0 11:19.36068461282818 12:4503.448269728271 13:-1800.4945174134039 14:5974.28032071358 15:-7690.563304168049 16:2326.0650809502486
2 1:0.4338780299344647 2:0.4803537189136594 3:0.1 4:0.17892586106246353 5:0.36500291885580854 6:1.0 7:1.0 8:0.37776209588497334 9:0.3903321130860495 10:25911.0 11:18.62985212947189 12:1813.7297314752393 13:-3692.6620819860823 14:1670.273805479345 15:-1974.5166600019234 16:-147.8096065890136
2 1:1.0 2:0.12208900410455822 3:0.5491464510332434 4:1.0 5:0.5835130278526505 6:0.9303683737646001 7:1.0 8:0.40531473803241613 9:0.5867320015077271 10:73601.0 11:22.74777286756454 12:13888.81526385734 13:-4353.108517374206 14:7001.250622181455 15:-1983.864853690283 16:-10374.835263277697
2 1:0.5465467893468734 2:0.32303811387267345 3:0.31266999653825234 4:0.8081697245437911 5:0.6992977597547104 6:1.0 7:1.0 8:0.5470334441726895 9:0.5216686361263019 10:98991.0 11:27.451770041805077 12:20534.48906760252 13:2874.650311535383 14:-6586.8947589104355 15:2086.0013290882125 16:4971.911222853603
2 1:0.010069225928256766 2:0.14789175582127123 3:0.1 4:0.002527363184079602 5:0.13783084577114427 6:0.8839203980099503 7:1.0 8:0.3518761316101642 9:0.6409127801710682 10:125058.0 11:46.07138055418921 12:948.8817707138801 13:-54.21742151266389 14:-696.0781524147802 15:-61.71490884778128 16:-30.455724250701692
2 1:0.859582582900731 2:0.1564572518275241 3:0.1824720640493214 4:1.0 5:0.9643789870274436 6:0.8767821209915657 7:0.9756245057449877 8:0.3140903381867237 9:0.2448248592826906 10:64907.0 11:44.929133192389 12:14061.657532055138 13:-13634.029567379508 14:15411.087773727042 15:-3906.28317682678 16:5108.217074641953
2 1:1.0 2:0.038939870944693776 3:0.987301019495618 4:1.0 5:0.28174745126095513 6:0.03016007869790735 7:0.5546715482644512 8:0.11208899528268676 9:0.06871787650496373 10:39720.0 11:9.12424101166571 12:29467.537713464422 13:-933.6625795194108 14:8062.200409662585 15:3563.9902875169414 16:432.65677185233017
2 1:0.9912458367089747 2:0.22475020253848232 3:0.1 4:0.10754716981132076 5:0.5584905660377358 6:1.0 7:0.9256120527306968 8:0.1647834274952919 9:0.03695856873822975 10:4818.0 11:10.057750636207608 12:280.7493196141034 13:-438.5327209887348 14:280.500358683344 15:-278.30092751834206 16:-62.74999175403809
2 1:0.15313783234476752 2:0.44417022688622504 3:0.0009853710300917152 4:0.20889865837944366 5:0.7871598575001895 6:1.0 7:0.842014056031578 8:0.22354866660248388 9:0.27284105131414266 10:30184.0 11:21.43447382907295 12:3036.3580043071793 13:4900.342938653076 14:-1030.136901585785 15:-851.3795649374719 16:783.8159938100188
2 1:0.9875660553310538 2:0.36578000799325017 3:0.32022923133696574 4:1.0 5:0.5895109297327805 6:0.5300974667332363 7:1.0 8:0.41833069031360237 9:0.3261917861419463 10:83222.0 11:37.56969136844044 12:22046.142717089344 13:-5927.760705793763 14:6512.864763195899 15:9142.791626324288 16:370.5845901529342
2 1:1.0 2:0.23483046405676733 3:0.06257982120051085 4:1.0 5:0.7117314358693669 6:0.022988505747126436 7:0.6927562524297006 8:0.09317092134249061 9:0.03809770636257613 10:5660.0 11:1.8589670778241194 12:2728.23403448127 13:2071.4501038109643 14:8563.728144238197 15:2998.3399159751466 16:-4218.817623074375
2 1:0.7018059051500259 2:0.2383035678612809 3:0.011938601478112564 4:0.21703765251235405 5:0.4297021909301614 6:1.0 7:1.0 8:0.2801360920995371 9:0.22312774458994342 10:47113.0 11:27.395890490922888 12:3714.994681651021 13:-2098.1623452239096 14:5127.71787772979 15:5044.80233129493 16:975.8213423400928
2 1:0.710333408352892 2:0.39597466482332894 3:0.1 4:0.00017804682631532092 5:0.06596634914982641 6:0.38351286388320127 7:1.0 8:0.5629049269248154 9:0.5585354828989001 10:17286.0 11:20.495275884528283 12:96.76620539987238 13:17.055340824358403 14:93.66458333239558 15:-339.03238450344145 16:346.10886347155156
2 1:1.0 2:0.13415032324067827 3:0.008027968406059821 4:0.2875825456428849 5:0.6233329017221287 6:1.0 7:0.8782956391353243 8:0.15769086592527803 9:0.0973384980632263 10:16713.0 11:19.947422384157182 12:1751.0226838970325 13:2325.140672257907 14:5105.517162575678 15:265.5001173639541 16:1052.1363037483347
2 1:0.609167658094628 2:0.01224032213782374 3:0.9789077212806027 4:1.0 5:0.6596986817325801 6:0.5837099811676083 7:0.29054310672236994 8:0.0703380174705659 9:0.050284846183061144 10:51123.0 11:28.848956475896607 12:14760.347732228558 13:12257.193637676226 14:-2538.1171900578056 15:-3500.5872761796654 16:-2087.922378332426
2 1:1.0 2:0.08319492395259867 3:0.06156183530841689 4:0.2986934062594956 5:0.38936493467031297 6:0.9173503494378609 7:1.0 8:0.2599784602330211 9:0.20191899742175518 10:43120.0 11:18.828517505828014 12:3033.4932153315253 13:-2179.9419185840743 14:821.6404309297687 15:-4943.811243924451 16:2182.8369978560804
