1 1:0.8414007723744892 2:0.21875820179220876 3:0.23041880694387162 4:0.06765775561471261 5:0.03573169359979003 6:0.1 7:0.1 8:0.22474460839954596 9:0.01362088535754824 10:0.1 11:0.9007744433688286 12:0.2473378509196515 13:0.1665053242981607 14:0.01936108422071636 15:0.001936108422071636 16:0.9920947191053525 17:0.9941753426371664 18:36.32189281994734 19:-25.12288266520862 20:-45.90016364494423
1 1:1.0 2:0.2049200730128879 3:0.2576884783450412 4:0.09271807068975053 5:0.055644670612312624 6:1.0 7:0.5267926482008801 8:0.22521356458710848 9:0.1 10:0.1 11:0.7536964980544747 12:0.2357976653696498 13:0.30817120622568095 14:0.06536964980544747 15:0.016731517509727626 16:0.9813913442649183 17:0.9908119716658209 18:2795.596548524815 19:-3742.9180651458905 20:-948.5214361720298
1 1:0.5130800743837475 2:0.10705946505222243 3:0.10099131723549727 4:0.03208847751010193 5:0.011982494651920415 6:1.0 7:0.06627858044606537 8:0.024477486323467527 9:0.1 10:0.1 11:1.0 12:0.17807716982861332 13:0.16726239574741086 14:0.04435890385849143 15:0.019979836861882504 16:0.9823554332053356 17:0.9908919759863716 18:14137.852125012874 19:-16788.89278362039 20:-2980.791389800323
1 1:0.5130800743837475 2:0.10705946505222243 3:0.10099131723549727 4:0.03208847751010193 5:0.011982494651920415 6:0.8485520094562647 7:1.0 8:0.41932624113475175 9:0.1 10:0.1 11:0.3977005250769509 12:0.042911461162411735 13:0.025439072967590078 14:0.0027159152634437804 15:0.0001810610175629187 16:0.9690506529502703 17:0.9827790503732406 18:1938.0123406006826 19:-2695.147016639588 20:-231.54986587382984
1 1:0.38145151804268557 2:0.1566139087475331 3:0.13251342909048136 4:0.03558872348489799 5:0.018140708114960855 6:1.0 7:0.6611857341361742 8:0.37899490504863365 9:0.0017369152385363594 10:0.1 11:1.0 12:0.44461842194839674 13:0.455783239158554 14:0.13459050990537136 15:0.07447750017019539 16:0.8954614309084378 17:0.9393433763435787 18:8631.257812600224 19:5226.289406911944 20:2723.1134444771487
1 1:1.0 2:0.2867501488837741 3:0.31621304060905536 4:0.08046966794894493 5:0.024135266944583046 6:0.09387521465369204 7:0.5966963774634066 8:0.3770545424809878 9:0.0003270913402567667 10:0.1 11:1.0 12:0.29787636186901756 13:0.3481389477663323 14:0.07266001539063871 15:0.010071417963845499 16:0.9095546433629847 17:0.9450007507318868 18:2114.5293952151733 19:11112.116090685482 20:-369.81748523524794
1 1:0.615706613848447 2:0.15692320258101403 3:0.12723337349151573 4:0.03826598329691871 5:0.022502195087088804 6:0.010360655737704918 7:0.25154098360655736 8:0.22859016393442622 9:0.09101639344262295 10:0.01822950819672131 11:1.0 12:0.2667397710917689 13:0.1896374477417586 14:0.037009115208004935 15:0.017133849633335616 16:0.9138654341023585 17:0.9383325559111069 18:787.0917752690757 19:-1799.2096063112556 20:336.06238328301936
1 1:1.0 2:0.29368726831277503 3:0.35734570443755553 4:0.10918294348457587 5:0.04686856424375122 6:0.7822590183323477 7:1.0 8:0.5736250739207569 9:0.1 10:0.1 11:1.0 12:0.2503577177606868 13:0.23859774637810768 14:0.06398676444285459 15:0.00554462529064568 16:0.9093756416569327 17:0.9482590978518713 18:-4533.300685219143 19:22555.085865203408 20:14581.756616041099
1 1:1.0 2:0.3904904962736149 3:0.47079553989254147 4:0.1 5:0.019007452770235137 6:0.8803392348644299 7:1.0 8:0.4356196607651356 9:0.1 10:0.1 11:1.0 12:0.6252977309765576 13:0.7415695123480005 14:0.2870126614015294 15:0.3856713050018804 16:0.8093344466635924 17:0.8989052672378058 18:15542.85819409623 19:9955.695001203141 20:504.0014346068442
1 1:1.0 2:0.22596538837974908 3:0.23075896432066909 4:0.0635287836996174 5:0.02605881306166029 6:0.14582755752703078 7:1.0 8:0.5436650956473523 9:0.1 10:0.1 11:1.0 12:0.3233307148468185 13:0.3236449332285939 14:0.04461901021209741 15:0.03173605655930872 16:0.9730079238741403 17:0.9821643884109628 18:1363.5229392739107 19:4645.310088412124 20:305.28327171555236
